mass,sensitivity_-2,sensitivity_-1,sensitivity_0,sensitivity_1,sensitivity_2,upper_limit
10.0,1.0205349471774206e-41,2.0958669441181903e-41,4.668749999514441e-41,8.353585074393538e-41,1.314570713280589e-40,2.9638650631247017e-41
10.476157527896646,7.825440637766763e-42,1.6058479004849113e-41,3.543603947389953e-41,6.339910589148777e-41,9.82621821109935e-41,2.2535602377861652e-41
10.974987654930562,6.11285772934121e-42,1.253167963370325e-41,2.7432385046944917e-41,4.907770390146802e-41,7.512048107352755e-41,1.753276121577556e-41
11.497569953977358,4.860436208378642e-42,9.952428844820386e-42,2.1640491714563734e-41,3.8715102225699744e-41,5.866841114783859e-41,1.3942058864433916e-41
12.045035402587825,3.930452800129216e-42,8.037380836490358e-42,1.7380696592549228e-41,3.1093947253406013e-41,4.675508049160764e-41,1.1319415386008497e-41
12.618568830660204,3.229886098421105e-42,6.595024719217686e-42,1.4199565688391187e-41,2.5402401684545583e-41,3.797836924075946e-41,9.372741048461296e-42
13.219411484660286,2.694945700594965e-42,5.49395970308638e-42,1.1789682371124931e-41,2.1090232961446087e-41,3.140735353679768e-41,7.906418877684852e-42
13.84886371393873,2.2812449840643057e-42,4.6427192199354675e-42,9.9393879284059e-42,1.7778693891132598e-41,2.6413041061076697e-41,6.787168702866612e-42
14.508287784959395,1.9574642368108023e-42,3.9767475618528276e-42,8.500784410196099e-42,1.5203178942280322e-41,2.256326832786788e-41,5.922678211849307e-42
15.199110829529339,1.701205009241458e-42,3.449872369444762e-42,7.369050273402375e-42,1.3176171619166123e-41,1.95562983306355e-41,5.247994159848689e-42
15.922827933410924,1.4962400751937838e-42,3.028643672083716e-42,6.468871509666012e-42,1.1562947692523757e-41,1.717816812887782e-41,4.7167114154763385e-42
16.68100537200059,1.3306646861265667e-42,2.68852591052481e-42,5.745414292697851e-42,1.0265416228570857e-41,1.5274855112597178e-41,4.295177032988337e-42
17.47528400007684,1.1956377128071414e-42,2.411303699427141e-42,5.158237422133664e-42,9.211226280335673e-42,1.373383770163659e-41,3.9586187477918706e-42
18.307382802953676,1.0845138666126797e-42,2.1832928136837978e-42,4.677133745576914e-42,8.34632758613523e-42,1.2471703823370189e-41,3.688520273690109e-42
19.179102616724887,9.92238444457767e-43,1.9940920008493157e-42,4.279254004060574e-42,7.62982699429025e-42,1.1425711101566546e-41,3.470816122637074e-42
20.09233002565047,9.149205312747688e-43,1.8357025732626784e-42,3.9470945878380756e-42,7.030391202816503e-42,1.0547968685913486e-41,3.2946331776192665e-42
21.049041445120206,8.49637739944615e-43,1.7021119092716566e-42,3.667581175245329e-42,6.52465951695061e-42,9.803385991011163e-42,3.151918490128723e-42
22.051307399030456,7.943835001564183e-43,1.589161840052179e-42,3.431827889178584e-42,6.096882744619814e-42,9.169880843326687e-42,3.0376958848936e-42
23.101297000831604,7.475949371670855e-43,1.4936118313811992e-42,3.232949381909073e-42,5.734859330032291e-42,8.630568506611334e-42,2.9482437112745484e-42
24.201282647943824,7.080043450705931e-43,1.4128379035771946e-42,3.0653779565719333e-42,5.428701264435153e-42,8.171674161296824e-42,2.880584439919906e-42
25.353644939701113,6.7457873611228525e-43,1.3447058094191768e-42,2.924589743265596e-42,5.1703587052971296e-42,7.781913629591084e-42,2.832333245925092e-42
26.560877829466865,6.464727791385599e-43,1.2874724700789963e-42,2.806892309443275e-42,4.953250265233439e-42,7.452007831958493e-42,2.8015796135230635e-42
27.825594022071243,6.229919396447673e-43,1.2397089139227984e-42,2.709258859450481e-42,4.771973735687053e-42,7.174300001618751e-42,2.7867937895132048e-42
29.150530628251772,6.035634330259127e-43,1.200239663933957e-42,2.62919795269418e-42,4.622078356757247e-42,6.942452245773154e-42,2.7867519600686317e-42
30.538555088334153,5.877131907082349e-43,1.1680947693253677e-42,2.5646504332523588e-42,4.4998844096621444e-42,6.75120365934473e-42,2.8004755203218025e-42
31.992671377973846,5.750474740851148e-43,1.1424716005439296e-42,2.513907298968557e-42,4.4023393573911524e-42,6.596176391532569e-42,2.8271809054647548e-42
33.516026509388425,5.652380951463793e-43,1.1227042132902773e-42,2.4755437460814563e-42,4.3269023236513745e-42,6.473719214000133e-42,2.8662372676228156e-42
35.11191734215131,5.580104451820304e-43,1.1082386001219895e-42,2.4483657495304355e-42,4.271450617796572e-42,6.380780514863247e-42,2.917129894397992e-42
36.78379771828634,5.531337154808408e-43,1.09861253362512e-42,2.4313663821920766e-42,4.234203455396838e-42,6.314804443710751e-42,2.979427730663124e-42
38.53528593710529,5.504128321607599e-43,1.0934389963529255e-42,2.4236897128364538e-42,4.213659114753209e-42,6.273645305378163e-42,3.052753727368088e-42
40.370172585965534,5.496817325802473e-43,1.092392414047697e-42,2.424600606657315e-42,4.208542599705453e-42,6.255496351474228e-42,3.13675703134177e-42
42.29242874389499,5.5079769158351886e-43,1.0951970779366705e-42,2.433459123444866e-42,4.2177615151774845e-42,6.2588299283174e-42,3.2310862720634534e-42
44.306214575838816,5.53636468342486e-43,1.1016172723110346e-42,2.4496984960319297e-42,4.2403683533001307e-42,6.282346567276501e-42,3.335363413153959e-42
46.4158883361278,5.58088093396973e-43,1.1114487249732617e-42,2.472805897199916e-42,4.275527771314956e-42,6.324931093022169e-42,3.449157831587089e-42
48.62601580065353,5.640531541330632e-43,1.1245110778227559e-42,2.5023053829391135e-42,4.3224877452319955e-42,6.385614210471657e-42,3.571960476586808e-42
50.9413801481638,5.714402807915964e-43,1.140642432648562e-42,2.5377470902447096e-42,4.3805597023205516e-42,6.463544060411229e-42,3.703170026566229e-42
53.3669923120631,5.801942540045049e-43,1.1597428475646291e-42,2.5788674822162365e-42,4.4493240025111283e-42,6.558174338724711e-42,3.8425337025713435e-42
55.90810182512222,5.903055905908486e-43,1.1817887938588254e-42,2.625646353679041e-42,4.528699762008601e-42,6.669322414100611e-42,3.9903600765376865e-42
58.570208180566674,6.017726893751035e-43,1.2067720762695138e-42,2.6780976213514623e-42,4.618665833668838e-42,6.796895083197428e-42,4.147007718676253e-42
61.35907273413176,6.145983094632542e-43,1.2346933014676518e-42,2.7362513907737158e-42,4.7192340513275136e-42,6.940857105974255e-42,4.312845924256308e-42
64.28073117284322,6.28788750373894e-43,1.2655596535031667e-42,2.800151030134918e-42,4.830442338582591e-42,7.101219077178834e-42,4.4882534416191326e-42
67.34150657750821,6.443530436879591e-43,1.2993826805088676e-42,2.8698502608348858e-42,4.9523478931507435e-42,7.278025540144139e-42,4.673616990565412e-42
70.54802310718645,6.613021422976148e-43,1.3361760562728006e-42,2.9454102179386255e-42,5.085020332522238e-42,7.471343128589378e-42,4.8693295498368015e-42
73.90722033525779,6.796480949372135e-43,1.3759532855263848e-42,3.0268964385474784e-42,5.228534700891425e-42,7.681248550689987e-42,5.07578839221326e-42
77.4263682681127,6.994031951797141e-43,1.4187253268725297e-42,3.1143757406981174e-42,5.382964250854087e-42,7.907816256402297e-42,5.29339284578199e-42
81.11308307896871,7.205790955420362e-43,1.464498112409183e-42,3.2079129599233704e-42,5.5483729267042684e-42,8.151105655058886e-42,5.5225417602451134e-42
84.97534359086447,7.431858788280651e-43,1.513269948482246e-42,3.307567515239623e-42,5.724807489879823e-42,8.411147776719738e-42,5.763630657780529e-42
89.02150854450387,7.672310804004626e-43,1.56502878779233e-42,3.413389781244062e-42,5.912289241656508e-42,8.687931298545398e-42,6.017048549009616e-42
93.260334688322,7.927186567632998e-43,1.6197493694272725e-42,3.5254172483658395e-42,6.110805314005302e-42,8.981387887431977e-42,6.283174396111557e-42
97.70099572992257,8.196478976996614e-43,1.6773902304082863e-42,3.64367045924954e-42,6.320299516953631e-42,9.291376842970847e-42,6.562373207108958e-42
102.35310218990269,8.480140524843675e-43,1.7378952303295918e-42,3.768155675151253e-42,6.540677510121698e-42,9.617692869370198e-42,6.854998623871362e-42
107.22672220103232,8.778477769285194e-43,1.801296769627563e-42,3.899019980201623e-42,6.772135617278676e-42,9.960596100106092e-42,7.161547812237784e-42
112.33240329780276,9.092214255405398e-43,1.867732874946987e-42,4.036575800272503e-42,7.015213605829588e-42,1.0320897546508439e-41,7.48269352814391e-42
117.6811952434999,9.422130969893825e-43,1.9373533782242398e-42,4.1811595652045455e-42,7.270495076080334e-42,1.0699475916090783e-41,7.8191483989663e-42
123.2846739442066,9.769051191650563e-43,2.010315810695306e-42,4.333125822377891e-42,7.538594653815187e-42,1.1097256795884624e-41,8.171659942991008e-42
129.1549665014884,1.0133842547586946e-42,2.0867857826088807e-42,4.492848116665127e-42,7.820159510335561e-42,1.1515214931078872e-41,8.541012244999287e-42
135.30477745798075,1.0517419155729004e-42,2.166937380229076e-42,4.6607199082286566e-42,8.115870949025305e-42,1.1954376600560688e-41,8.928027708633553e-42
141.74741629268047,1.092074385709736e-42,2.2509535807324314e-42,4.8371555289023234e-42,8.426446060096977e-42,1.2415822091311499e-41,9.333568888761746e-42
148.49682622544648,1.1344830537662806e-42,2.3390266856074572e-42,5.0225911778245456e-42,8.752639445091414e-42,1.2900688273446271e-41,9.758540407156353e-42
155.56761439304722,1.1790746541441877e-42,2.431358773169414e-42,5.217485956914424e-42,9.095245012611763e-42,1.341017127747842e-41,1.0203890954922505e-41
162.97508346206433,1.2259615175537707e-42,2.528162170801742e-42,5.422322946679552e-42,9.455097846663063e-42,1.3945529275157099e-41,1.0670615385224835e-41
170.7352647470692,1.2752618307633999e-42,2.629659947536421e-42,5.637610322740301e-42,9.833076148828457e-42,1.450808536495061e-41,1.115975689997915e-41
178.8649529057435,1.3270999056101174e-42,2.7360864275792968e-42,5.86388251331972e-42,1.0230103255360893e-41,1.509923056293161e-41,1.167240933428749e-41
187.3817422860385,1.3816064572501743e-42,2.847687725380413e-42,6.101701397812302e-42,1.0647149730091045e-41,1.5720426899472477e-41,1.220971954252545e-41
196.30406500402725,1.4389188915833307e-42,2.964722302839488e-42,6.351657546375307e-42,1.1085235533837172e-41,1.6373210621753326e-41,1.2772889890102543e-41
205.65123083486515,1.4991816017370194e-42,3.087461549220752e-42,6.614371500302892e-42,1.1545432270775017e-41,1.7059195501622137e-41,1.3363180855043043e-41
215.44346900318843,1.5625462734422066e-42,3.216190384337132e-42,6.890495092739029e-42,1.2028865511949538e-41,1.7780076247860264e-41,1.3981913743652186e-41
225.70197196339214,1.629172199072994e-42,3.35120788553827e-42,7.1807128090581e-42,1.2536717195821985e-41,1.8537632021329255e-41,1.4630473524669154e-41
236.4489412645407,1.6992266000552785e-42,3.4928279390125645e-42,7.485743185979925e-42,1.3070228105398856e-41,1.93337300508589e-41,1.5310311786417032e-41
247.70763559917114,1.7728849572779472e-42,3.641379915881774e-42,7.806340248218126e-42,1.3630700421120325e-41,2.0170329347041662e-41,1.602294982158875e-41
259.5024211399737,1.850331349059462e-42,3.79720937352925e-42,8.14329498114099e-42,1.4219500348275948e-41,2.1049484510361534e-41,1.6769981844446638e-41
271.858824273294,1.931758796135637e-42,3.9606787825578637e-42,8.49743683759314e-42,1.4838060817246745e-41,2.1973349629223504e-41,1.755307834530412e-41
284.8035868435802,2.01736961303975e-42,4.132168279730914e-42,8.86963527665603e-42,1.5487884254383786e-41,2.2944182262587698e-41,1.8373989587319874e-41
298.364724028334,2.1073757651434672e-42,4.312076447184788e-42,9.260801331722549e-42,1.6170545420769674e-41,2.3964347500888036e-41,1.9234549250719971e-41
312.5715849688235,2.201999230514044e-42,4.5008211181453205e-42,9.671889204824006e-42,1.6887694315514842e-41,2.5036322097876444e-41,2.0136678229707253e-41
327.45491628777313,2.301472365625265e-42,4.6988402093060524e-42,1.0103897883683585e-41,1.7641059139582784e-41,2.616269866486356e-41,2.108238858742278e-41
343.0469286314919,2.4060382738275653e-42,4.9065925799453724e-42,1.05578727774464e-41,1.8432449315418287e-41,2.734618991757699e-41,2.2073787674433533e-41
359.38136638046257,2.5159511753462597e-42,5.124558917775257e-42,1.1034907366509748e-41,1.9263758556899482e-41,2.8589632964532646e-41,2.3113082416346236e-41
376.49358067924715,2.6314767774265762e-42,5.353242651410078e-42,1.1536144861264758e-41,2.0136967983278674e-41,2.989599362434966e-41,2.4202583776236014e-41
394.4206059437656,2.7528926430870105e-42,5.5931708892404294e-42,1.206277986395709e-41,2.105414926989747e-41,3.1268370757925993e-41,2.5344711397687784e-41
413.20124001153386,2.88048855677311e-42,5.844895384377313e-42,1.2616060027186872e-41,2.2017467827497695e-41,3.271000059973387e-41,2.65419984343444e-41
432.87612810830615,3.0145668850257755e-42,6.108993525194812e-42,1.3197287701856724e-41,2.3029186000903245e-41,3.422426107073286e-41,2.779709657194738e-41
453.4878508128582,3.155442930089768e-42,6.386069350868771e-42,1.3807821566632614e-41,2.409166627676877e-41,3.581467605358481e-41,2.911278124892625e-41
475.0810162102798,3.303445274188365e-42,6.676754591140344e-42,1.4449078230165914e-41,2.520737448890826e-41,3.748491960883805e-41,3.049195708167862e-41
497.70235643321143,3.4589161119821015e-42,6.981709729375073e-42,1.5122533796497702e-41,2.6378883008469095e-41,3.9238820108728926e-41,3.19376635007539e-41
521.4008287999684,3.6222115685112923e-42,7.301625087799549e-42,1.5829725383162123e-41,2.7608873904902045e-41,4.108036426304212e-41,3.3453080604182357e-41
546.2277217684342,3.7937019996910304e-42,7.63722193360128e-42,1.6572252580599574e-41,2.890014206229342e-41,4.3013701009180263e-41,3.504153523427594e-41
572.236765935022,3.973772272196495e-42,7.989253604369234e-42,1.735177884050145e-41,3.025559823413682e-41,4.504314523627111e-41,3.6706507284215527e-41
599.4842503189408,4.162822019324819e-42,8.358506651116534e-42,1.8170032779713548e-41,3.167827201812142e-41,4.71731813105608e-41,3.8451636240805716e-41
628.029144183426,4.361265869169687e-42,8.745801996891692e-42,1.902880938526741e-41,3.317131473085291e-41,4.940846636686056e-41,4.028072796974284e-41
657.9332246575682,4.56953364118726e-42,9.151996108712992e-42,1.9929971105049218e-41,3.473800216078089e-41,5.17538333280975e-41,4.219776174975438e-41
689.2612104349695,4.7880705069630746e-42,9.577982180294236e-42,2.087544880748416e-41,3.6381737175852344e-41,5.421429361228404e-41,4.420689756195245e-41
722.0809018385471,5.017337110723304e-42,1.0024691322717498e-41,2.1867242592497246e-41,3.810605216056931e-41,5.679503948343043e-41,4.631248364064571e-41
756.463327554629,5.2578096448599634e-42,1.0493093759910865e-41,2.2907422434840939e-41,3.991461125530236e-41,5.950144600003814e-41,4.851906429186598e-41
792.4828983539177,5.509979875468894e-42,1.0984200025443444e-41,2.399812863972719e-41,4.1811212368754785e-41,6.233907251191292e-41,5.083138798572724e-41
830.2175681319752,5.774355112622898e-42,1.1499062156801415e-41,2.5141572089499297e-41,4.379978893251052e-41,6.531366365308939e-41,5.325441572862251e-41
869.7490026177834,6.051458119839263e-42,1.2038774882939984e-41,2.6340034258918813e-41,4.588441136459572e-41,6.843114977569288e-41,5.579332972117412e-41
911.1627561154896,6.341826956930684e-42,1.260447680051052e-41,2.7595866975456565e-41,4.806928820693321e-41,7.169764676666473e-41,5.845354230764209e-41
954.5484566618347,6.64601475018005e-42,1.319735153376012e-41,2.891149189983906e-41,5.035876689953691e-41,7.511945518631553e-41,6.124070522235176e-41
1000.0,6.964589383528845e-42,1.3818628872666892e-41,3.0289399700955194e-41,5.275733415218748e-41,7.870305866486398e-41,6.416071913844916e-41
